,experiment,start,end,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,bandwidth
20,416,2023-10-05 09:24:55.1451212,2023-10-05 09:54:55.1473148,unl,20,16,24,8,16,8,0.5,1.0,119.55818763175533
21,417,2023-10-05 09:58:28.9436344,2023-10-05 10:28:28.9470953,unl,16,8,20,4,8,2,0.5,1.0,123.44642931347377
22,418,2023-10-05 10:32:02.5356894,2023-10-05 11:02:02.5414324,unl,16,8,20,4,8,2,0.5,1.0,102.14467410174258
23,419,2023-10-05 11:05:36.3102162,2023-10-05 11:35:36.3128990,unl,16,8,20,4,8,2,0.5,1.0,115.19538386323565
24,420,2023-10-05 11:39:10.5516817,2023-10-05 12:09:10.5571911,unl,16,8,20,8,8,4,0.25,1.0,102.4041310081559
25,421,2023-10-05 12:12:45.3317365,2023-10-05 12:42:45.3357632,unl,16,8,20,8,8,4,0.25,1.0,125.66694109829349
26,422,2023-10-05 12:46:21.4449570,2023-10-05 13:16:21.4469923,unl,16,8,20,8,8,4,0.25,1.0,181.7714611336362
27,423,2023-10-05 13:19:56.8543519,2023-10-05 13:49:56.8577023,unl,16,8,20,4,8,2,0.25,1.0,144.50861991017769
28,424,2023-10-05 13:53:32.8815014,2023-10-05 14:23:32.8836387,unl,16,8,20,4,8,2,0.25,1.0,112.07875580781956
29,425,2023-10-05 14:27:08.8457042,2023-10-05 14:57:08.8495189,unl,16,8,20,4,8,2,0.25,1.0,163.717986369443
30,426,2023-10-05 15:00:43.8038524,2023-10-05 15:30:43.8067712,unl,8,6,16,4,8,2,0.25,1.0,150.4164227580807
31,427,2023-10-05 15:34:19.0642570,2023-10-05 16:04:19.0670204,unl,8,6,16,4,8,2,0.25,1.0,116.37315467468021
32,432,2023-10-05 18:22:16.0702223,2023-10-05 18:52:16.0730665,unl,16,8,20,4,8,2,0.25,0.5,0.0055555467771743645
33,434,2023-10-05 19:29:22.2154792,2023-10-05 19:59:22.2174208,unl,16,8,20,4,8,2,0.25,0.5,0.9816656077766978
34,435,2023-10-05 20:02:55.7276692,2023-10-05 20:32:55.7397385,unl,8,6,16,4,8,2,0.25,0.25,7.858836194082402
35,436,2023-10-05 20:36:29.1557443,2023-10-05 21:06:29.2145782,unl,8,6,16,4,8,2,0.25,0.25,56.76147805604233
36,437,2023-10-05 21:10:02.3852201,2023-10-05 21:40:02.4036303,unl,8,6,16,4,8,2,0.25,0.25,158.32504733567418
37,438,2023-10-05 21:43:35.8409111,2023-10-05 22:13:35.8424312,unl,16,8,20,6,8,2,0.25,1.0,76.51715760348262
38,439,2023-10-05 22:17:09.1751395,2023-10-05 22:47:09.1787232,unl,16,8,20,6,8,2,0.25,1.0,172.9363223600564
39,440,2023-10-05 22:50:43.0682169,2023-10-05 23:20:43.0768613,unl,16,8,20,6,8,2,0.25,1.0,113.7177872099779
40,441,2023-10-05 23:24:17.0038785,2023-10-05 23:54:17.0069524,unl,10,8,16,4,8,4,0.25,1.0,157.95973024865845
41,442,2023-10-05 23:57:51.4102025,2023-10-06 00:27:51.4130316,unl,10,8,16,4,8,4,0.25,1.0,222.0368732419344
42,447,2023-10-06 12:44:53.5773716,2023-10-06 13:14:53.5844533,general,8,6,12,4,8,2,0.25,1.0,159.4560393223146
43,448,2023-10-06 13:18:27.1607365,2023-10-06 13:48:27.1642755,general,8,6,12,4,8,2,0.25,1.0,170.84466410040764
44,449,2023-10-06 13:52:01.6920421,2023-10-06 14:22:01.7028468,general,8,6,12,4,8,2,0.25,1.0,175.6539456176743
45,450,2023-10-06 14:25:35.8012810,2023-10-06 14:55:35.8052178,general,8,6,12,4,8,2,0.25,3.0,191.11013757645023
46,451,2023-10-06 14:59:10.1991072,2023-10-06 15:29:10.2018783,general,8,6,12,4,8,2,0.25,3.0,207.3980140440907
47,452,2023-10-06 15:32:45.2488027,2023-10-06 16:02:45.2516475,general,8,6,12,4,8,2,0.25,3.0,100.33428587167975
48,453,2023-10-06 16:06:20.0990251,2023-10-06 16:36:20.1024894,general,16,8,20,16,8,4,0.5,1.0,124.80753757180422
49,454,2023-10-06 16:39:54.9046144,2023-10-06 17:09:54.9073765,general,16,8,20,16,8,4,0.5,1.0,161.63030753384865
50,455,2023-10-06 17:13:30.5007783,2023-10-06 17:43:30.5044457,general,16,8,20,16,8,4,0.5,1.0,58.56932511269838
51,456,2023-10-06 17:47:05.8867973,2023-10-06 18:17:05.8989873,general,16,8,20,16,8,4,0.5,3.0,0.0011111035864707116
52,458,2023-10-06 18:54:16.5016001,2023-10-06 19:24:16.5047151,general,16,8,20,16,8,4,0.5,3.0,5.892767580016105
53,459,2023-10-06 19:27:52.3103164,2023-10-06 19:57:52.3134117,general,16,8,20,16,8,4,0.5,0.5,38.972710759871326
54,460,2023-10-06 20:01:25.7052156,2023-10-06 20:31:25.7072515,general,16,8,20,16,8,4,0.5,0.5,67.9165898492304
55,461,2023-10-06 20:35:00.0697830,2023-10-06 21:05:00.0727044,general,16,8,20,16,8,4,0.5,0.5,67.30711298277785
56,462,2023-10-06 21:08:34.5708728,2023-10-06 21:38:34.5737987,general,6,4,8,2,2,2,0.25,1.0,73.31376971735621
57,463,2023-10-06 21:42:08.9047605,2023-10-06 22:12:08.9151720,general,6,4,8,2,2,2,0.25,1.0,68.05793967486727
58,464,2023-10-06 22:15:43.7085680,2023-10-06 22:45:43.7128253,general,6,4,8,2,2,2,0.25,1.0,24.19438722068627
59,468,2023-10-07 00:30:03.4671049,2023-10-07 01:00:03.4709628,general,6,4,8,2,2,4,0.25,0.5,21.40606523196719
60,469,2023-10-07 01:03:36.8665376,2023-10-07 01:33:36.9259411,general,6,4,8,2,2,4,0.25,0.5,25.247500116737122
61,470,2023-10-07 01:37:10.5563973,2023-10-07 02:07:10.5602477,general,6,4,8,2,2,4,0.25,0.5,24.59050295373746
62,471,2023-10-07 02:10:44.2127354,2023-10-07 02:40:44.2138472,general,20,16,24,8,16,8,0.5,1.0,107.95382220941137
63,472,2023-10-07 02:44:17.8714048,2023-10-07 03:14:17.8735425,general,20,16,24,8,16,8,0.5,1.0,89.57933805902724
64,473,2023-10-07 03:17:52.4217125,2023-10-07 03:47:52.4247819,general,20,16,24,8,16,8,0.5,1.0,92.25373157577573
65,474,2023-10-07 03:51:27.1796462,2023-10-07 04:21:27.1810994,general,16,8,20,4,8,2,0.5,1.0,141.84321881857468
66,475,2023-10-07 04:25:02.1789090,2023-10-07 04:55:02.1828805,general,16,8,20,4,8,2,0.5,1.0,142.8763514258724
67,476,2023-10-07 04:58:37.7492024,2023-10-07 05:28:37.7520370,general,16,8,20,4,8,2,0.5,1.0,160.99752424245432
68,477,2023-10-07 05:32:13.5795589,2023-10-07 06:02:13.5806105,general,16,8,20,8,8,4,0.25,1.0,96.22605489371149
69,478,2023-10-07 06:05:48.8268084,2023-10-07 06:35:48.8293345,general,16,8,20,8,8,4,0.25,1.0,147.06479361090268
70,479,2023-10-07 06:39:25.1555991,2023-10-07 07:09:25.1582296,general,16,8,20,8,8,4,0.25,1.0,182.77973288772927
71,480,2023-10-07 07:13:01.6018247,2023-10-07 07:43:01.6115872,general,16,8,20,4,8,2,0.25,1.0,208.3216479221734
72,481,2023-10-07 07:46:37.2641380,2023-10-07 08:16:37.2667244,general,16,8,20,4,8,2,0.25,1.0,208.06025659608463
73,482,2023-10-07 08:20:12.1259658,2023-10-07 08:50:12.1286842,general,16,8,20,4,8,2,0.25,1.0,247.07573797184105
74,483,2023-10-07 08:53:47.9306431,2023-10-07 09:23:47.9344090,general,8,6,16,4,8,2,0.25,1.0,289.4338389006145
75,484,2023-10-07 09:27:23.5564394,2023-10-07 09:57:23.5608384,general,8,6,16,4,8,2,0.25,1.0,233.36554079165893
76,485,2023-10-07 10:00:58.9476791,2023-10-07 10:30:58.9493874,general,8,6,16,4,8,2,0.25,1.0,40.80885015902293
77,492,2023-10-07 13:56:01.7310944,2023-10-07 14:26:01.7354007,general,8,6,16,4,8,2,0.25,0.25,2.247216846005609
78,493,2023-10-07 14:29:35.5720231,2023-10-07 14:59:35.5768388,general,8,6,16,4,8,2,0.25,0.25,6.971092460727798
79,494,2023-10-07 15:03:09.3485947,2023-10-07 15:33:09.3571562,general,8,6,16,4,8,2,0.25,0.25,11.804943851096233
80,495,2023-10-07 15:36:43.5637558,2023-10-07 16:06:43.5740772,general,16,8,20,6,8,2,0.25,1.0,21.727653189000208
81,496,2023-10-07 16:10:18.6296973,2023-10-07 16:40:18.6312433,general,16,8,20,6,8,2,0.25,1.0,37.542745532730784
82,497,2023-10-07 16:43:53.6696272,2023-10-07 17:13:53.6749959,general,16,8,20,6,8,2,0.25,1.0,47.36263651345186
83,498,2023-10-07 17:17:27.9572419,2023-10-07 17:47:27.9608990,general,10,8,16,4,8,4,0.25,1.0,51.747672640881326
84,499,2023-10-07 17:51:02.1646342,2023-10-07 18:21:02.1683346,general,10,8,16,4,8,4,0.25,1.0,48.96323267580767
85,500,2023-10-07 18:24:36.7102649,2023-10-07 18:54:36.7142322,general,10,8,16,4,8,4,0.25,1.0,14.006635795263227
86,504,2023-11-07 17:39:47.1178983,2023-11-07 18:09:47.1236586,unl,8,6,12,4,8,2,0.25,1.0,210.7843254550278
87,505,2023-11-07 18:12:32.6142390,2023-11-07 18:42:32.6167070,unl,8,6,12,4,8,2,0.25,1.0,335.1067627536164
88,506,2023-11-07 18:46:01.6133827,2023-11-07 19:16:01.6158393,unl,8,6,12,4,8,2,0.25,1.0,324.7295568163171
89,507,2023-11-07 19:19:31.9016456,2023-11-07 19:49:31.9049682,unl,8,6,12,4,8,2,0.25,3.0,295.4838990139984
90,508,2023-11-07 19:53:02.1119206,2023-11-07 20:23:02.1170475,unl,8,6,12,4,8,2,0.25,3.0,85.29420150286573
91,509,2023-11-07 20:26:32.4994457,2023-11-07 20:56:32.5018659,unl,8,6,12,4,8,2,0.25,3.0,89.54432404712608
92,510,2023-11-07 21:00:03.5598397,2023-11-07 21:30:03.5622902,unl,16,8,20,16,8,4,0.5,1.0,81.00377861124474
93,511,2023-11-07 21:33:34.0477743,2023-11-07 22:03:34.0491393,unl,16,8,20,16,8,4,0.5,1.0,11.648880055154846
94,512,2023-11-07 22:07:04.7070522,2023-11-07 22:37:04.7080630,unl,16,8,20,16,8,4,0.5,1.0,111.14715980691716
95,513,2023-11-07 22:40:35.6807253,2023-11-07 23:10:35.6859489,unl,16,8,20,16,8,4,0.5,3.0,111.67134259643046
96,514,2023-11-07 23:14:06.2209707,2023-11-07 23:44:06.2220831,unl,16,8,20,16,8,4,0.5,3.0,5.912774123683369
97,516,2023-11-08 00:21:08.1585819,2023-11-08 00:51:08.2080839,unl,16,8,20,16,8,4,0.5,0.5,0.007222023608548516
98,517,2023-11-08 00:54:37.1934314,2023-11-08 01:24:37.1980710,unl,16,8,20,16,8,4,0.5,0.5,8.743866351087599
99,518,2023-11-08 01:28:06.5063790,2023-11-08 01:58:06.5154308,unl,16,8,20,16,8,4,0.5,0.5,137.26653193933677
100,519,2023-11-08 02:01:36.1265616,2023-11-08 02:31:36.1312701,unl,6,4,8,2,2,2,0.25,1.0,198.8161465967632
101,520,2023-11-08 02:35:05.9104270,2023-11-08 03:05:05.9118565,unl,6,4,8,2,2,2,0.25,1.0,259.735349282399
102,521,2023-11-08 03:08:36.1469516,2023-11-08 03:38:36.1486421,unl,6,4,8,2,2,2,0.25,1.0,309.3547094643687
103,522,2023-11-08 03:42:06.6471529,2023-11-08 04:12:06.6486114,unl,6,4,8,2,2,4,0.25,3.0,312.41308019195696
104,523,2023-11-08 04:15:36.2400420,2023-11-08 04:45:36.2499079,unl,6,4,8,2,2,4,0.25,3.0,28.2909560468093
105,526,2023-11-08 05:56:09.3392965,2023-11-08 06:26:09.3415673,unl,6,4,8,2,2,4,0.25,0.5,23.257192881981336
106,527,2023-11-08 06:29:42.0921708,2023-11-08 06:59:42.1493647,unl,6,4,8,2,2,4,0.25,0.5,68.95003137711134
107,528,2023-11-08 07:03:18.5898520,2023-11-08 07:33:18.5921585,unl,20,16,24,8,16,8,0.5,1.0,139.23148825698462
108,529,2023-11-08 07:36:49.1825474,2023-11-08 08:06:49.1858270,unl,20,16,24,8,16,8,0.5,1.0,122.40866586029969
109,530,2023-11-08 08:10:22.2424503,2023-11-08 08:40:22.2468695,unl,20,16,24,8,16,8,0.5,1.0,102.37085977927582
110,531,2023-11-08 08:43:56.3292090,2023-11-08 09:13:56.3321331,unl,16,8,20,4,8,2,0.5,1.0,96.00206626686557
111,532,2023-11-08 09:17:30.3206396,2023-11-08 09:47:30.3264720,unl,16,8,20,4,8,2,0.5,1.0,117.58017456966103
112,533,2023-11-08 09:51:04.7958358,2023-11-08 10:21:04.7976593,unl,16,8,20,4,8,2,0.5,1.0,114.92043913476624
113,534,2023-11-08 10:24:39.5623685,2023-11-08 10:54:39.5650945,unl,16,8,20,8,8,4,0.25,1.0,118.07648784638563
114,535,2023-11-08 10:58:14.3057527,2023-11-08 11:28:14.3091706,unl,16,8,20,8,8,4,0.25,1.0,137.86807154484347
115,536,2023-11-08 11:31:49.8994241,2023-11-08 12:01:49.9126095,unl,16,8,20,8,8,4,0.25,1.0,50.0979663545969
116,537,2023-11-08 12:05:24.7861645,2023-11-08 12:35:24.7912689,unl,16,8,20,4,8,2,0.25,1.0,82.25421118978022
117,538,2023-11-08 12:39:00.1044470,2023-11-08 13:09:00.1075465,unl,16,8,20,4,8,2,0.25,1.0,239.57903190266146
118,539,2023-11-08 13:12:35.4797302,2023-11-08 13:42:35.4852183,unl,16,8,20,4,8,2,0.25,1.0,175.07057733064696
119,540,2023-11-08 13:46:11.1427324,2023-11-08 14:16:11.1445688,unl,8,6,16,4,8,2,0.25,1.0,138.07819246289299
120,541,2023-11-08 14:19:46.2758031,2023-11-08 14:49:46.2788764,unl,8,6,16,4,8,2,0.25,1.0,144.4069756633565
121,542,2023-11-08 14:53:21.2136757,2023-11-08 15:23:21.2184870,unl,8,6,16,4,8,2,0.25,1.0,108.80248695477472
122,550,2023-11-08 19:21:56.2467064,2023-11-08 19:51:56.2720103,unl,8,6,16,4,8,2,0.25,0.25,25.595751293149362
123,551,2023-11-08 19:55:29.5346581,2023-11-08 20:25:29.5574309,unl,8,6,16,4,8,2,0.25,0.25,53.147660932748394
124,552,2023-11-08 20:29:02.9230418,2023-11-08 20:59:02.9243527,unl,16,8,20,6,8,2,0.25,1.0,66.22217399408451
125,553,2023-11-08 21:02:36.4091535,2023-11-08 21:32:36.4102125,unl,16,8,20,6,8,2,0.25,1.0,52.61941348668951
126,554,2023-11-08 21:36:10.6525465,2023-11-08 22:06:10.6634140,unl,16,8,20,6,8,2,0.25,1.0,81.16173220826401
127,555,2023-11-08 22:09:44.4981315,2023-11-08 22:39:44.5080613,unl,10,8,16,4,8,4,0.25,1.0,135.07647706533226
128,556,2023-11-08 22:43:18.8052977,2023-11-08 23:13:18.8180332,unl,10,8,16,4,8,4,0.25,1.0,114.0703040320239
129,557,2023-11-08 23:16:53.2212802,2023-11-08 23:46:53.2287382,unl,10,8,16,4,8,4,0.25,1.0,82.48521379181975
130,558,2023-11-08 23:50:27.8587563,2023-11-09 00:20:27.8608595,unl,10,8,16,4,8,2,0.15,1.0,121.79263546984949
131,559,2023-11-09 00:24:02.2827982,2023-11-09 00:54:02.2869829,unl,10,8,16,4,8,2,0.15,1.0,10.019976705224156
132,561,2023-11-09 16:54:12.9088421,2023-11-09 17:24:12.9120331,general,8,6,12,4,8,2,0.25,1.0,206.59185598077087
133,562,2023-11-09 17:27:38.4818997,2023-11-09 17:57:38.4871838,general,8,6,12,4,8,2,0.25,1.0,108.14690474496703
134,563,2023-11-09 18:01:13.6281794,2023-11-09 18:31:13.6321105,general,8,6,12,4,8,2,0.25,1.0,153.11522116041894
135,564,2023-11-09 18:34:47.7433530,2023-11-09 19:04:47.7454718,general,8,6,12,4,8,2,0.25,3.0,147.23427113334796
136,565,2023-11-09 19:08:23.8760907,2023-11-09 19:38:23.8803840,general,8,6,12,4,8,2,0.25,3.0,206.0145086210612
137,566,2023-11-09 19:41:57.4965492,2023-11-09 20:11:57.5016932,general,8,6,12,4,8,2,0.25,3.0,118.42910600037708
138,567,2023-11-09 20:15:32.1697839,2023-11-09 20:45:32.1721835,general,16,8,20,16,8,4,0.5,1.0,191.35752267693812
139,568,2023-11-09 20:49:07.6633790,2023-11-09 21:19:07.6649545,general,16,8,20,16,8,4,0.5,1.0,106.71823992522944
140,569,2023-11-09 21:22:42.5640205,2023-11-09 21:52:42.5680713,general,16,8,20,16,8,4,0.5,1.0,212.3806331602951
141,570,2023-11-09 21:56:18.2959907,2023-11-09 22:26:18.2985800,general,16,8,20,16,8,4,0.5,3.0,200.9502664885972
142,571,2023-11-09 22:29:53.6687651,2023-11-09 22:59:53.6707735,general,16,8,20,16,8,4,0.5,3.0,26.17997078897037
143,574,2023-11-10 00:10:39.7249922,2023-11-10 00:40:39.7264471,general,16,8,20,16,8,4,0.5,0.5,16.48443112044509
144,575,2023-11-10 00:44:13.8963152,2023-11-10 01:14:13.9004203,general,16,8,20,16,8,4,0.5,0.5,54.627653193344926
145,576,2023-11-10 01:17:47.7550228,2023-11-10 01:47:47.7609992,general,6,4,8,2,2,2,0.25,1.0,62.514792436996935
146,577,2023-11-10 01:51:21.4739832,2023-11-10 02:21:21.4758061,general,6,4,8,2,2,2,0.25,1.0,40.415514625865775
147,578,2023-11-10 02:24:55.8860956,2023-11-10 02:54:55.8886797,general,6,4,8,2,2,2,0.25,1.0,71.18656447044376
148,579,2023-11-10 02:58:30.8113332,2023-11-10 03:28:30.8156995,general,6,4,8,2,2,4,0.25,3.0,150.27852435493284
149,580,2023-11-10 03:32:05.0667427,2023-11-10 04:02:05.0717821,general,6,4,8,2,2,4,0.25,3.0,16.250510059544226
150,583,2023-11-10 05:12:48.7247844,2023-11-10 05:42:48.7874534,general,6,4,8,2,2,4,0.25,0.5,1.807714840177045
151,584,2023-11-10 05:46:22.6121293,2023-11-10 06:16:22.6133503,general,6,4,8,2,2,4,0.25,0.5,5.592773984012759
152,585,2023-11-10 06:19:56.3469869,2023-11-10 06:49:56.3540593,general,20,16,24,8,16,8,0.5,1.0,6.7060847621589605
153,586,2023-11-10 06:53:30.9944122,2023-11-10 07:23:30.9980721,general,20,16,24,8,16,8,0.5,1.0,21.296067810289678
154,587,2023-11-10 07:27:05.6768877,2023-11-10 07:57:05.6811705,general,20,16,24,8,16,8,0.5,1.0,30.10881724997638
155,588,2023-11-10 08:00:40.0805600,2023-11-10 08:30:40.0888856,general,16,8,20,4,8,2,0.5,1.0,97.67510377564223
156,589,2023-11-10 08:34:14.2744936,2023-11-10 09:04:14.2763588,general,16,8,20,4,8,2,0.5,1.0,141.91429738969583
157,590,2023-11-10 09:07:48.9610323,2023-11-10 09:37:48.9685095,general,16,8,20,4,8,2,0.5,1.0,129.06779718570382
158,591,2023-11-10 09:41:24.2200212,2023-11-10 10:11:24.2221156,general,16,8,20,8,8,4,0.25,1.0,164.92258588118673
159,592,2023-11-10 10:14:59.2686401,2023-11-10 10:44:59.2714599,general,16,8,20,8,8,4,0.25,1.0,93.83429744780447
160,593,2023-11-10 10:48:33.8539374,2023-11-10 11:18:33.8568756,general,16,8,20,8,8,4,0.25,1.0,124.18868617155682
161,594,2023-11-10 11:22:09.7599032,2023-11-10 11:52:09.7643307,general,16,8,20,4,8,2,0.25,1.0,219.40668254272947
162,595,2023-11-10 11:55:44.8554740,2023-11-10 12:25:44.8632807,general,16,8,20,4,8,2,0.25,1.0,255.0100051185517
163,596,2023-11-10 12:29:20.2975210,2023-11-10 12:59:20.3008169,general,16,8,20,4,8,2,0.25,1.0,276.91282629056434
164,597,2023-11-10 13:02:56.2690239,2023-11-10 13:32:56.2723674,general,8,6,16,4,8,2,0.25,1.0,160.4502575192022
165,598,2023-11-10 13:36:32.0131152,2023-11-10 14:06:32.0194709,general,8,6,16,4,8,2,0.25,1.0,150.16724754556932
166,599,2023-11-10 14:10:08.1279027,2023-11-10 14:40:08.1307082,general,8,6,16,4,8,2,0.25,1.0,220.28410110719685
167,600,2023-11-10 14:43:44.1886164,2023-11-10 15:13:44.1921266,general,10,8,16,4,8,2,0.25,1.0,251.35173205841676
168,601,2023-11-10 15:17:19.5855699,2023-11-10 15:47:19.5900222,general,10,8,16,4,8,2,0.25,1.0,17.337179338709127
169,607,2023-11-10 18:38:48.3672051,2023-11-10 19:08:48.4295223,general,8,6,16,4,8,2,0.25,0.25,1.0077428890471303
170,608,2023-11-10 19:12:22.4294027,2023-11-10 19:42:22.4312185,general,8,6,16,4,8,2,0.25,0.25,1.7911093042798474
171,609,2023-11-10 19:45:57.0029094,2023-11-10 20:15:57.0097123,general,16,8,20,6,8,2,0.25,1.0,1.179995540337966
172,610,2023-11-10 20:19:31.5759814,2023-11-10 20:49:31.5770487,general,16,8,20,6,8,2,0.25,1.0,10.617215926803024
173,611,2023-11-10 20:53:06.0131276,2023-11-10 21:23:06.0170398,general,16,8,20,6,8,2,0.25,1.0,26.703275295247995
174,612,2023-11-10 21:26:40.8501340,2023-11-10 21:56:40.8577180,general,10,8,16,4,8,4,0.25,1.0,46.836469329009226
175,613,2023-11-10 22:00:15.9096676,2023-11-10 22:30:15.9116180,general,10,8,16,4,8,4,0.25,1.0,65.86437307673708
176,614,2023-11-10 22:33:50.1882654,2023-11-10 23:03:50.1908570,general,10,8,16,4,8,4,0.25,1.0,139.4875769466642
177,615,2023-11-10 23:07:25.2883952,2023-11-10 23:37:25.2912740,general,10,8,16,4,8,2,0.15,1.0,149.02698387839934
178,616,2023-11-10 23:41:01.0448180,2023-11-11 00:11:01.0479786,general,10,8,16,4,8,2,0.15,1.0,5.5266569624711135
179,618,2023-11-16 21:11:58.8405660,2023-11-16 21:41:58.8429866,unl,8,6,12,4,6,2,0.15,3.0,416.2372180312167
180,619,2023-11-16 21:45:27.7643452,2023-11-16 22:15:27.7677002,unl,8,6,12,4,6,2,0.15,3.0,113.62145488889935
181,620,2023-11-16 22:19:01.4425719,2023-11-16 22:49:01.4476435,unl,8,6,12,4,6,2,0.15,3.0,131.10574171340016
182,621,2023-11-16 22:52:35.0247897,2023-11-16 23:22:35.0288852,unl,16,6,20,4,6,4,0.5,1.0,147.4157756992726
183,622,2023-11-16 23:26:08.6240216,2023-11-16 23:56:08.6271928,unl,16,6,20,4,6,4,0.5,1.0,34.29271736163039
184,623,2023-11-16 23:59:42.3830669,2023-11-17 00:29:42.3863504,unl,16,6,20,4,6,4,0.5,1.0,89.60094766404909
185,624,2023-11-17 00:33:15.8462845,2023-11-17 01:03:15.8485642,unl,16,8,20,8,8,4,0.15,3.0,151.61314131528985
186,625,2023-11-17 01:06:49.2800187,2023-11-17 01:36:49.2818318,unl,16,8,20,8,8,4,0.15,3.0,12.324987585313893
187,628,2023-11-17 02:47:29.4257461,2023-11-17 03:17:29.4324197,unl,16,8,15,16,8,4,0.75,0.5,28.2182287126827
188,629,2023-11-17 03:21:01.7959358,2023-11-17 03:51:01.8567301,unl,16,8,15,16,8,4,0.75,0.5,135.7770808485632
189,630,2023-11-17 03:54:34.3169159,2023-11-17 04:24:34.3217851,unl,5,4,7,3,2,2,0.25,1.0,104.10916281759134
190,631,2023-11-17 04:28:07.2762414,2023-11-17 04:58:07.2791021,unl,5,4,7,3,2,2,0.25,1.0,179.72638103152323
191,632,2023-11-17 05:01:40.9679665,2023-11-17 05:31:40.9708049,unl,5,4,7,3,2,2,0.25,1.0,161.97807791190203
192,633,2023-11-17 05:35:14.9529245,2023-11-17 06:05:14.9559338,unl,6,4,8,7,5,4,0.25,3.0,332.38166653547273
193,634,2023-11-17 06:08:48.8397316,2023-11-17 06:38:48.8435769,unl,6,4,8,7,5,4,0.25,3.0,26.43438797324885
194,637,2023-11-17 07:49:30.2791751,2023-11-17 08:19:30.3103294,unl,6,3,8,2,2,4,0.25,0.5,7.44764887428482
195,638,2023-11-17 08:23:03.0112121,2023-11-17 08:53:03.0485708,unl,6,3,8,2,2,4,0.25,0.5,34.46150697938845
196,639,2023-11-17 08:56:36.1136819,2023-11-17 09:26:36.1210690,unl,21,16,24,5,16,8,0.5,1.0,78.08967952429354
197,640,2023-11-17 09:30:09.2402946,2023-11-17 10:00:09.2497084,unl,21,16,24,5,16,8,0.5,1.0,11.42271803823163
198,642,2023-11-21 15:24:52.4720765,2023-11-21 15:54:52.4750780,general,8,6,12,4,6,2,0.15,3.0,236.03238419377715
199,643,2023-11-21 15:58:26.2385739,2023-11-21 16:28:26.2470730,general,8,6,12,4,6,2,0.15,3.0,250.4538174266446
200,644,2023-11-21 16:31:59.9970877,2023-11-21 17:02:00.0047743,general,8,6,12,4,6,2,0.15,3.0,203.8869071127221
201,645,2023-11-21 17:05:33.6824106,2023-11-21 17:35:33.6886246,general,16,6,20,4,6,4,0.5,1.0,285.03457155287356
